Time(s),Event,Node,Seq,Child,Expected,Received,Result
1.000,InterestSent,Root,1,,,,
2.000,AggregatePartial,Root,1,,1,0,0
2.000,InterestSent,Root,2,,,,
3.000,AggregatePartial,Root,2,,1,0,0
3.000,InterestSent,Root,3,,,,
4.000,AggregatePartial,Root,3,,1,0,0
4.000,InterestSent,Root,4,,,,
5.000,AggregatePartial,Root,4,,1,0,0
5.000,InterestSent,Root,5,,,,
6.000,AggregatePartial,Root,5,,1,0,0
6.000,InterestSent,Root,6,,,,
7.000,AggregatePartial,Root,6,,1,0,0
7.000,InterestSent,Root,7,,,,
8.000,AggregatePartial,Root,7,,1,0,0
8.000,InterestSent,Root,8,,,,
9.000,AggregatePartial,Root,8,,1,0,0
9.000,InterestSent,Root,9,,,,
